ID,Name,Description,Piano,North,East,West,South,Up,Down,Confidence
49,Passaggio aperto (est/ovest),"Passaggio aperto ad est e ovest nel bunker; bidirezionale",-1,0,50,33,0,0,0,Media
50,Passaggio con pulsante e porta,"Passaggio con pulsante e porta (porta apre al retro)",-1,0,51,49,0,0,0,Alta
51,Scala a chiocciola (verso retro),"Scala a chiocciola che sale al retro/piano terra",0,0,0,0,0,0,23,Alta
52,Piccola cucina (retro),"Piccola cucina retro; contiene un peso",0,0,53,0,0,0,0,Alta
53,Tinello,"Tinello con tavolo; accesso al capanno e piazza",0,27,27,52,0,0,0,Alta
54,Posto di blocco,"Posto di blocco all'esterno",0,0,0,0,0,0,0,Alta
55,Filo spinato (posteriore 2),"Filo spinato / pericolo esterno",0,0,0,0,0,0,0,Alta
56,Piccola saletta squallida,"Piccola saletta seminterrato",-1,57,0,0,0,0,0,Alta
57,Pozzo profondo,"Pozzo profondo (pericolo)",-1,0,0,56,0,0,0,Alta
58,EndPoint - (Mortale: sentinelle),"EndPoint - cattura da sentinelle → morte",0,0,0,0,0,0,0,Alta
59,EndPoint - (Mortale: caduta pozzo),"EndPoint - caduta in pozzo → morte",-1,0,0,0,0,0,0,Alta
